TrackID,Predictor
199810_208019,29.543491
199810_74139,59.741226
199810_9903,47.41111
199810_242681,16.236027
199810_18515,37.896255
199810_105760,63.59162
199812_276940,74.92713
199812_142408,55.48594
199812_130023,78.341835
199812_29189,131.32605
199812_223706,61.561317
199812_211361,37.24533
199813_188441,31.219412
199813_20968,30.560135
199813_21571,45.12811
199813_79640,53.034565
199813_184173,65.62701
199813_111874,63.235065
199814_122375,8.505714
199814_189043,0
199814_122429,177.948
199814_52519,105.01962
199814_232332,64.08049
199814_262193,105.300766
199815_64345,60.927296
199815_118841,57.59562
199815_275682,59.71016
199815_30062,38.40244
199815_258473,59.980377
199815_129866,61.647507
199816_274758,42.60718
199816_102153,64.17524
199816_183464,70.372734
199816_23616,268.1594
199816_81699,83.00877
199816_46627,33.291023
199817_83722,70.066864
199817_200166,66.02256
199817_148603,40.751778
199817_88745,148.49669
199817_144775,97.87341
199817_222966,86.648056
199818_141875,50.582714
199818_290905,60.543663
199818_59789,7.489848
199818_283698,20.574284
199818_106788,100.98585
199818_235999,68.15592
199819_202308,72.755295
199819_36793,42.772114
199819_247549,0
199819_214280,0
199819_123424,6.7395053
199819_193003,30.42236
199820_235240,15.494655
199820_292341,101.8018
199820_126082,29.806372
199820_142163,40.207817
199820_20067,84.53575
199820_286335,56.959274
199821_231569,35.735718
199821_51933,84.20973
199821_16949,74.06233
199821_34642,32.891964
199821_229894,50.19222
199821_42811,76.37467
199822_47402,34.774014
199822_21317,128.71085
199822_185734,82.399025
199822_92685,85.4039
199822_110099,78.32879
199822_33495,59.67162
199823_21593,13.674466
199823_132124,65.178116
199823_170625,104.23659
199823_30365,135.96278
199823_143570,55.327557
199823_254625,102.03512
199824_281826,77.30226
199824_253265,31.738503
199824_48891,71.4649
199824_33980,97.88848
199824_207963,50.132088
199824_126528,55.703766
199826_48808,88.639275
199826_223958,80.07168
199826_179298,65.01839
199826_5121,89.89211
199826_31975,80.401596
199826_38775,112.13292
199827_92599,52.068882
199827_75369,60.34281
199827_184197,44.922485
199827_183841,50.612637
199827_197936,306.22772
199827_138391,26.429256
199830_36027,106.45742
199830_29249,111.244774
199830_221237,126.86685
199830_123579,72.840744
199830_19694,73.052666
199830_255036,32.785637
199838_6143,61.839317
199838_24607,72.63037
199838_95726,48.905033
199838_46697,86.684555
199838_256209,51.163216
199838_266780,91.02881
199839_7477,32.33744
199839_266143,199.46043
199839_291820,154.52182
199839_196470,161.99355
199839_263222,86.85169
199839_225097,310.505
199844_77700,87.3862
199844_138272,17.711628
199844_140229,199.38371
199844_43472,45.007336
199844_118108,127.67149
199844_81165,59.36058
199845_189985,30.062143
199845_31440,36.44543
199845_169945,17.514013
199845_95594,56.688843
199845_238400,65.39545
199845_100669,104.61375
199846_273378,85.71109
199846_19705,122.029175
199846_20499,19.240906
199846_101984,126.32647
199846_214726,133.2846
199846_61792,94.542496
199847_44444,58.94902
199847_39446,70.91232
199847_282901,64.590065
199847_63072,87.88675
199847_19595,114.514046
199847_127769,23.852028
199853_54037,5.83389
199853_89981,52.44165
199853_256134,77.32486
199853_213546,59.930668
199853_222196,65.88593
199853_161111,44.026894
199854_226277,74.092285
199854_92910,49.951786
199854_214592,135.85892
199854_20999,155.5284
199854_154755,15.770781
199854_228397,67.286514
199855_252693,173.8404
199855_69487,93.70916
