TrackId,Predictor
199810_208019,0.0
199810_74139,16.5
199810_9903,0.0
199810_242681,0.0
199810_18515,32.1125
199810_105760,79.2875
199812_276940,0.0
199812_142408,137.625
199812_130023,145.625
199812_29189,21.5
199812_223706,67.375
199812_211361,0.0
199813_188441,62.7875
199813_20968,38.0
199813_21571,96.8625
199813_79640,79.2875
199813_184173,53.6125
199813_111874,38.0
199814_122375,0.0
199814_189043,80.71875
199814_122429,0.0
199814_52519,0.0
199814_232332,107.625
199814_262193,80.71875
199815_64345,52.875
199815_118841,0.0
199815_275682,154.125
199815_30062,90.25
199815_258473,116.025
199815_129866,0.0
199816_274758,0.0
199816_102153,124.9875
199816_183464,0.0
199816_23616,106.425
199816_81699,124.9875
199816_46627,42.75
199817_83722,107.625
199817_200166,107.625
199817_148603,0.0
199817_88745,0.0
199817_144775,107.625
199817_222966,0.0
199818_141875,38.0
199818_290905,0.0
199818_59789,70.1125
199818_283698,21.5
199818_106788,151.8625
199818_235999,96.8625
199819_202308,0.0
199819_36793,46.57625
199819_247549,0.0
199819_214280,0.0
199819_123424,0.0
199819_193003,57.7875
199820_235240,96.8625
199820_292341,0.0
199820_126082,24.1875
199820_142163,41.2875
199820_20067,96.8625
199820_286335,41.2875
199821_231569,21.5
199821_51933,0.0
199821_16949,62.7875
199821_34642,0.0
199821_229894,62.7875
199821_42811,0.0
199822_47402,119.825
199822_21317,121.05
199822_185734,0.0
199822_92685,8.0625
199822_110099,24.9375
199822_33495,75.7875
199823_21593,21.5
199823_132124,126.8625
199823_170625,40.0625
199823_30365,22.9375
199823_143570,35.2625
199823_254625,35.2625
199824_281826,110.3
199824_253265,8.0625
199824_48891,110.3
199824_33980,45.55
199824_207963,81.975
199824_126528,0.0
199826_48808,41.2875
199826_223958,0.0
199826_179298,0.0
199826_5121,0.0
199826_31975,21.5
199826_38775,21.5
199827_92599,0.0
199827_75369,38.0
199827_184197,113.3625
199827_183841,113.3625
199827_197936,118.3625
199827_138391,16.5
199830_36027,65.475
199830_29249,65.475
199830_221237,65.475
199830_123579,65.475
199830_19694,84.0375
199830_255036,41.2875
199838_6143,0.0
199838_24607,16.5
199838_95726,16.5
199838_46697,0.0
199838_256209,96.8625
199838_266780,118.3625
199839_7477,0.0
199839_266143,0.0
199839_291820,0.0
199839_196470,0.0
199839_263222,0.0
199839_225097,96.8625
199844_77700,0.0
199844_138272,41.2875
199844_140229,0.0
199844_43472,0.0
199844_118108,0.0
199844_81165,41.2875
199845_189985,0.0
199845_31440,27.525
199845_169945,90.6875
199845_95594,0.0
199845_238400,114.1
199845_100669,16.5
199846_273378,0.0
199846_19705,13.4375
199846_20499,56.3
199846_101984,13.4375
199846_214726,0.0
199846_61792,0.0
199847_44444,0.0
199847_39446,103.0375
199847_282901,123.6625
199847_63072,0.0
199847_19595,45.4375
199847_127769,131.8125
199853_54037,21.5
199853_89981,107.625
199853_256134,0.0
199853_213546,16.5
199853_222196,62.375
199853_161111,124.125
199854_226277,61.575
199854_92910,93.8375
199854_214592,64.55
199854_20999,0.0
199854_154755,0.0
199854_228397,0.0
199855_252693,89.1
199855_69487,0.0
199855_24631,0.0
199855_50032,89.1
199855_277150,8.0625
199855_4836,133.45
199858_142462,18.8125
199858_255065,14.4375
199858_85596,0.0
199858_269486,142.3625
199858_30595,96.8625
199858_37731,74.3875
199859_22400,0.0
199859_105128,131.8625
199859_2877,70.0625
199859_51667,0.0
199859_289911,131.8125
199859_17,0.0
199861_192584,24.1875
199861_56525,24.1875
199861_94381,96.8625
199861_249701,24.1875
199861_127111,0.0
199861_77154,96.8625
199862_80123,0.0
199862_108161,24.1875
199862_179298,0.0
199862_280411,0.0
199862_196729,24.1875
199862_225847,65.6875
199863_222604,96.8625
199863_126413,79.2875
199863_144718,96.8625
199863_241999,0.0
199863_184020,113.3625
199863_249930,30.0
199866_142729,0.0
199866_117929,41.2875
199866_252600,96.8625
199866_125126,0.0
199866_46889,22.9375
199866_291314,72.1625
199868_24085,75.3375
199868_80589,0.0
199868_79604,0.0
199868_218286,0.0
199868_122067,0.0
199868_257899,0.0
199873_8379,38.0
199873_217580,25.0
199873_65230,32.1125
199873_65855,38.0
199873_241597,57.7875
199873_187050,57.7875
199876_257097,70.1125
199876_277360,134.8625
199876_69317,38.0
199876_47894,30.875
199876_102449,134.8625
199876_267088,0.0
199880_266143,0.0
199880_224615,96.8625
199880_154327,0.0
199880_14107,97.48
199880_22640,0.0
199880_133341,0.0
199882_146575,33.25
199882_192238,5.375
199882_109824,0.0
199882_125958,86.5625
199882_79309,33.25
199882_42782,134.5
199884_36155,0.0
