TrackId,Predictor
199810_208019,164.89413
199810_74139,0
199810_9903,0
199810_242681,171.42775
199810_18515,30.251957
199810_105760,331.77634
199812_276940,257.5805
199812_142408,248.38472
199812_130023,239.96011
199812_29189,175.62
199812_223706,169.63617
199812_211361,0
199813_188441,0
199813_20968,0
199813_21571,0
199813_79640,0
199813_184173,0
199813_111874,0
199814_122375,0
199814_189043,96.81868
199814_122429,75.80459
199814_52519,170.31569
199814_232332,176.94873
199814_262193,0
199815_64345,14.547356
199815_118841,177.50345
199815_275682,34.8672
199815_30062,84.12036
199815_258473,67.38906
199815_129866,70.82501
199816_274758,269.66458
199816_102153,211.88803
199816_183464,0
199816_23616,0.46793002
199816_81699,219.99272
199816_46627,117.317635
199817_83722,0
199817_200166,0
199817_148603,89.29554
199817_88745,1.1886749
199817_144775,7.841349
199817_222966,0
199818_141875,170.58539
199818_290905,31.28274
199818_59789,0
199818_283698,44.855194
199818_106788,31.00302
199818_235999,126.845795
199819_202308,85.348724
199819_36793,3.695788
199819_247549,2.6852958
199819_214280,0
199819_123424,0
199819_193003,73.48639
199820_235240,27.662811
199820_292341,0.14108194
199820_126082,45.86929
199820_142163,277.92896
199820_20067,249.98029
199820_286335,185.09648
199821_231569,346.83725
199821_51933,246.6779
199821_16949,0
199821_34642,329.03625
199821_229894,165.05347
199821_42811,185.47015
199822_47402,89.92386
199822_21317,180.04417
199822_185734,69.94078
199822_92685,0
199822_110099,52.709785
199822_33495,30.236095
199823_21593,180.0015
199823_132124,89.988434
199823_170625,0
199823_30365,180.0015
199823_143570,0
199823_254625,0.6554139
199824_281826,0
199824_253265,165.71715
199824_48891,85.3109
199824_33980,72.979935
199824_207963,64.79045
199824_126528,9.853358
199826_48808,0.008274647
199826_223958,58.832962
199826_179298,88.318054
199826_5121,19.958782
199826_31975,24.977264
199826_38775,171.894
199827_92599,266.50323
199827_75369,0
199827_184197,0
199827_183841,350
199827_197936,0.3613943
199827_138391,273.40793
199830_36027,90.002144
199830_29249,159.99802
199830_221237,179.99997
199830_123579,260
199830_19694,79.99961
199830_255036,0
199838_6143,91.42949
199838_24607,0.52084565
199838_95726,0
199838_46697,0
199838_256209,88.6467
199838_266780,89.87633
199839_7477,152.63911
199839_266143,260.22162
199839_291820,0
199839_196470,264.71143
199839_263222,0.8300598
199839_225097,158.8513
199844_77700,220.16019
199844_138272,169.07834
199844_140229,0
199844_43472,13.390556
199844_118108,0
199844_81165,219.73239
199845_189985,79.99994
199845_31440,249.99998
199845_169945,90.000015
199845_95594,80.00001
199845_238400,279.9998
199845_100669,0
199846_273378,0
199846_19705,285.18668
199846_20499,0
199846_101984,222.45998
199846_214726,0
199846_61792,14.0542145
199847_44444,180.00002
199847_39446,0
199847_282901,180
199847_63072,0
199847_19595,259.99966
199847_127769,0
199853_54037,259.99884
199853_89981,0
199853_256134,259.99326
199853_213546,80.0027
199853_222196,1.0546757
199853_161111,179.99533
199854_226277,177.2388
199854_92910,147.91692
199854_214592,79.28975
199854_20999,5.4310074
199854_154755,6.9262834
199854_228397,79.73558
199855_252693,0
199855_69487,195.68999
199855_24631,0.2945143
199855_50032,173.03845
199855_277150,17.813923
199855_4836,0
199858_142462,90.67503
199858_255065,81.8412
199858_85596,160.37215
199858_269486,27.700153
199858_30595,159.3135
199858_37731,262.56372
199859_22400,17.986446
199859_105128,8.163186
199859_2877,160.49075
199859_51667,14.527501
199859_289911,88.408295
199859_17,0
199861_192584,34.616314
199861_56525,69.98623
199861_94381,0
199861_249701,358.71243
199861_127111,270.86404
199861_77154,120.489426
199862_80123,0
199862_108161,0
199862_179298,200.0327
199862_280411,0
199862_196729,87.80374
199862_225847,3.2654355
199863_222604,0
199863_126413,0
199863_144718,323.87213
199863_241999,85.057846
199863_184020,228.70905
199863_249930,348.04745
199866_142729,96.28913
199866_117929,7.1072807
199866_252600,118.19257
199866_125126,182.50815
199866_46889,120.33853
199866_291314,4.652336
199868_24085,270
199868_80589,89.9995
199868_79604,0
199868_218286,0
199868_122067,0
199868_257899,49.99972
199873_8379,148.79674
199873_217580,16.669455
199873_65230,182.19278
199873_65855,169.80211
199873_241597,263.16733
199873_187050,13.769279
199876_257097,0.40045488
199876_277360,0
199876_69317,179.79247
199876_47894,90.082306
199876_102449,180.16461
199876_267088,0
199880_266143,87.25387
199880_224615,260.66275
199880_154327,0.6149541
199880_14107,0
199880_22640,140.35687
199880_133341,80.203926
199882_146575,6.0912123
199882_192238,79.46027
199882_109824,322.73553
199882_125958,321.20026
199882_79309,137.35388
199882_42782,266.6274
199884_36155,89.99895
199884_5444,89.99895
199884_150640,179.9979
199884_155463,0.416212
199884_247800,180.00188
199884_152366,0
199886_134307,0
199886_255399,1.367582
199886_155743,184.6188
199886_151269,164.19786
199886_200432,250.39134
199886_87913,0.06027486
199890_114634,74.12222
199890_151926,7.0758557
199890_190001,272.15363
199890_286440,211.67505
199890_48289,13.173088
199890_141713,357.96448
199891_32135,50.010056
199891_244657,180.00618
199891_117789,0
199891_45103,49.354713
199891_279606,299.99597
199891_280110,359.902
199894_279067,0
199894_15811,79.99555
199894_250006,0
199894_31746,0
199894_251949,169.99988
199894_9592,80.000374
199895_195551,4.077974
199895_69797,168.00385
199895_59891,273.2171
199895_249919,167.12283
199895_229468,305.45404
199895_276415,87.40548
199896_175151,328.36017
199896_101756,13.593494
199896_222456,238.88281
199896_183890,103.4536
199896_42748,190.93658
199896_59296,23.418821
199899_30902,203.64923
199899_54300,19.069675
199899_46394,170.69556
199899_236744,348.88687
199899_40880,106.469864
199899_210352,0
199900_219739,182.72755
199900_287949,201.75916
199900_23822,90.39413
199900_44210,400.5879
199900_261886,478.92725
199900_110099,186.72926
199902_111243,129.9979
199902_124466,169.99974
199902_263958,90.000206
199902_249140,0
199902_298,0.030514942
199902_127445,169.99945
199907_64481,11.993194
199907_61826,154.34854
199907_54636,85.24673
199907_52391,192.01347
199907_172050,154.44273
199907_78355,0
199911_152843,16.88933
199911_23252,183.22278
199911_170920,162.86469
199911_21878,264.93378
199911_50179,179.99905
199911_229538,0
199912_252021,251.22035
199912_125831,20.11914
199912_233293,209.99066
199912_286721,69.56774
199912_87357,139.13548
199912_188926,159.01198
199914_284745,80.34005
199914_137479,5.811674
199914_94531,0.456381
199914_295555,45.684353
199914_262472,71.07744
199914_78278,0
199915_118642,184.47598
199915_252839,257.89056
199915_232361,0
199915_11535,290.05524
199915_266171,363.22443
199915_29554,295.02063
199918_251164,265.50128
199918_114265,24.65011
